Age,RiskTolerance,InvestmentHorizon,Equity%,Bond%,VTI%,VB%,VEA%,VSS%,VWO%,BND%,BNDX%
53,moderate,long,62,38,27.5,6.9,15.1,3.5,8.9,22.8,15.2
53,high,short,52,48,23.1,5.8,12.7,2.9,7.5,28.8,19.2
53,high,medium,62,38,27.5,6.9,15.1,3.5,8.9,22.8,15.2
53,high,long,67,33,29.7,7.4,16.3,3.8,9.6,19.8,13.2
54,low,short,36,64,16.0,4.0,8.8,2.0,5.2,38.4,25.6
54,low,medium,46,54,20.4,5.1,11.2,2.6,6.6,32.4,21.6
54,low,long,51,49,22.6,5.7,12.4,2.9,7.3,29.4,19.6
54,moderate,short,46,54,20.4,5.1,11.2,2.6,6.6,32.4,21.6
54,moderate,medium,56,44,24.9,6.2,13.7,3.1,8.1,26.4,17.6
54,moderate,long,61,39,27.1,6.8,14.9,3.4,8.8,23.4,15.6
54,high,short,51,49,22.6,5.7,12.4,2.9,7.3,29.4,19.6
54,high,medium,61,39,27.1,6.8,14.9,3.4,8.8,23.4,15.6
54,high,long,66,34,29.3,7.3,16.1,3.7,9.5,20.4,13.6
55,low,short,35,65,15.5,3.9,8.5,2.0,5.0,39.0,26.0
55,low,medium,45,55,20.0,5.0,11.0,2.5,6.5,33.0,22.0
55,low,long,50,50,22.2,5.5,12.2,2.8,7.2,30.0,20.0
55,moderate,short,45,55,20.0,5.0,11.0,2.5,6.5,33.0,22.0
55,moderate,medium,55,45,24.4,6.1,13.4,3.1,7.9,27.0,18.0
55,moderate,long,60,40,26.6,6.7,14.6,3.4,8.6,24.0,16.0
55,high,short,50,50,22.2,5.5,12.2,2.8,7.2,30.0,20.0
55,high,medium,60,40,26.6,6.7,14.6,3.4,8.6,24.0,16.0
55,high,long,65,35,28.9,7.2,15.9,3.6,9.4,21.0,14.0
56,low,short,34,66,15.1,3.8,8.3,1.9,4.9,39.6,26.4
56,low,medium,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
56,low,long,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
56,moderate,short,44,56,19.5,4.9,10.7,2.5,6.3,33.6,22.4
56,moderate,medium,54,46,24.0,6.0,13.2,3.0,7.8,27.6,18.4
56,moderate,long,59,41,26.2,6.5,14.4,3.3,8.5,24.6,16.4
56,high,short,49,51,21.8,5.4,12.0,2.7,7.1,30.6,20.4
56,high,medium,59,41,26.2,6.5,14.4,3.3,8.5,24.6,16.4
56,high,long,64,36,28.4,7.1,15.6,3.6,9.2,21.6,14.4
57,low,short,33,67,14.7,3.7,8.1,1.8,4.8,40.2,26.8
57,low,medium,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
57,low,long,48,52,21.3,5.3,11.7,2.7,6.9,31.2,20.8
57,moderate,short,43,57,19.1,4.8,10.5,2.4,6.2,34.2,22.8
57,moderate,medium,53,47,23.5,5.9,12.9,3.0,7.6,28.2,18.8
57,moderate,long,58,42,25.8,6.4,14.2,3.2,8.4,25.2,16.8
57,high,short,48,52,21.3,5.3,11.7,2.7,6.9,31.2,20.8
57,high,medium,58,42,25.8,6.4,14.2,3.2,8.4,25.2,16.8
